HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,ZIP Code,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR,HAI_1_SIR_ComparedToNational_encode,HAI_2_SIR_ComparedToNational_encode,HAI_3_SIR_ComparedToNational_encode,HAI_4_SIR_ComparedToNational_encode,HAI_5_SIR_ComparedToNational_encode,HAI_6_SIR_ComparedToNational_encode
2888.0,2.023,1.0,0.494,5025.0,3.49,2.0,0.573,102.0,2.602,0.0,0.0,90.0,0.778,0.0,,31449.0,1.607,0.0,0.0,30014.0,16.974,6.0,0.353,85122,85.0,90.0,91.0,82.0,81.0,87.0,80.0,87.0,77.0,86.0,52.0,78.0,33.0,80.0,84.0,0.0,0.0,0.0,,0.0,1.0
7734.0,15.255,19.0,1.245,8233.0,17.367,12.0,0.691,90.0,3.15,4.0,1.27,122.0,1.054,1.0,0.949,66426.0,3.308,5.0,1.511,63867.0,35.498,24.0,0.676,85008,83.0,86.0,88.0,80.0,69.0,79.0,78.0,85.0,73.0,82.0,63.0,98.0,70.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0
8470.0,6.869,4.0,0.582,7178.0,6.317,2.0,0.317,122.0,3.426,3.0,0.876,41.0,0.306,2.0,,60304.0,2.225,1.0,0.449,55202.0,42.701,30.0,0.703,86001,83.0,91.0,91.0,86.0,79.0,87.0,83.0,90.0,80.0,90.0,38.0,70.0,,64.0,88.0,0.0,0.0,0.0,,0.0,1.0
23211.0,26.85,16.0,0.596,19084.0,34.971,20.0,0.572,459.0,14.489,9.0,0.621,234.0,2.37,1.0,0.422,158844.0,15.629,8.0,0.512,134357.0,121.155,74.0,0.611,85013,87.0,91.0,90.0,82.0,78.0,87.0,81.0,89.0,80.0,90.0,66.0,92.0,71.0,76.0,96.0,1.0,1.0,0.0,0.0,1.0,1.0
5697.0,4.835,3.0,0.62,5425.0,5.248,2.0,0.381,97.0,2.614,0.0,0.0,55.0,0.529,0.0,,31650.0,1.851,1.0,0.54,31650.0,15.031,8.0,0.532,85015,87.0,87.0,86.0,82.0,75.0,78.0,78.0,83.0,78.0,81.0,48.0,80.0,75.0,73.0,85.0,0.0,0.0,0.0,,0.0,0.0
10996.0,9.299,5.0,0.538,11445.0,11.57,8.0,0.691,338.0,9.103,9.0,0.989,440.0,3.672,4.0,1.089,111224.0,6.545,4.0,0.611,99025.0,80.227,62.0,0.773,85224,84.0,92.0,90.0,86.0,77.0,88.0,81.0,88.0,78.0,89.0,59.0,92.0,73.0,73.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0
3133.0,2.282,3.0,1.315,3476.0,2.475,2.0,0.808,23.0,0.637,0.0,,1.0,0.007,0.0,,21174.0,0.882,1.0,,21174.0,10.09,5.0,0.496,85006,82.0,86.0,88.0,77.0,68.0,82.0,75.0,81.0,79.0,76.0,73.0,97.0,92.0,83.0,90.0,0.0,0.0,,,,0.0
7388.0,7.608,4.0,0.526,9952.0,12.247,8.0,0.653,86.0,2.39,2.0,0.837,60.0,0.453,0.0,,81629.0,4.411,4.0,0.907,79742.0,36.506,15.0,0.411,85251,87.0,91.0,90.0,86.0,76.0,85.0,80.0,89.0,77.0,89.0,59.0,81.0,57.0,85.0,79.0,0.0,0.0,0.0,,0.0,1.0
685.0,0.563,0.0,,1775.0,1.769,0.0,0.0,43.0,0.945,1.0,,25.0,0.178,0.0,,16228.0,0.717,0.0,,15044.0,5.222,5.0,0.957,85635,88.0,91.0,90.0,82.0,76.0,86.0,79.0,86.0,84.0,83.0,86.0,97.0,,90.0,96.0,,0.0,,,,0.0
5575.0,4.99,1.0,0.2,4429.0,5.414,2.0,0.369,60.0,1.523,0.0,0.0,17.0,0.162,0.0,,36032.0,2.076,0.0,0.0,35566.0,34.557,9.0,0.26,86409,88.0,90.0,88.0,86.0,73.0,83.0,79.0,87.0,79.0,84.0,40.0,80.0,84.0,71.0,64.0,1.0,0.0,0.0,,0.0,1.0
15029.0,11.859,3.0,0.253,14744.0,12.882,6.0,0.466,231.0,5.564,2.0,0.359,62.0,0.507,2.0,,87070.0,4.024,2.0,0.497,87070.0,49.474,30.0,0.606,85351,80.0,88.0,87.0,85.0,75.0,88.0,81.0,85.0,75.0,86.0,67.0,87.0,,87.0,88.0,1.0,1.0,0.0,,0.0,1.0
1439.0,1.051,0.0,0.0,2818.0,2.221,2.0,0.9,59.0,1.548,0.0,0.0,49.0,0.394,0.0,,16923.0,0.67,0.0,,15094.0,13.084,15.0,1.146,85901,88.0,93.0,90.0,89.0,79.0,85.0,82.0,89.0,79.0,89.0,54.0,92.0,57.0,86.0,74.0,0.0,0.0,0.0,,,0.0
